SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,AGE,MAX AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE4_HE3,HE3_HE4_R_RA,IGSN,EXPEDITION ID,LOC PREC,METHOD,SI,MN,NI,CO,CU,CD,ZN,AS,AG,S,AL,CA,MG,PB207_PB206,PB208_PB206,HF176_HF177_INI,RE187_OS188,OS187_OS188,OS187_OS188_INI,OS187_OS186,OS186_OS188,OS184_OS188,HF176_HF177_INI,ND143_ND144_INI,PB206_PB204_INI,PB207_PB204_INI,PB208_PB204_INI,SR87_SR86_INI,HE3,HE4,AL,CA,K,MG,N,NA,P,PA,SI,TI,AS,AS,GER,INDIUM
AII0127-2-038,"MARSCHALL, 2017; MERTZ, 1991",SPREADING_CENTER,MORB-Arctic,67.10,-18.72,-197,-197,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,0.0617,,,,,,116,249,,4.7,0.27,0.732,,,382,73,,51.9,59.3,,,,,,,,1.04,57,23,40,1.55,,,,,,,,,,,0.014,11.1,1.73,5.35,0.9,5.19,1.96,0.78,2.89,0.542,4.04,0.892,2.69,0.405,2.876,0.426,,,,,,,,,,0.227,,0.109,0.036,0.513106,0.70292,17.987,15.404,37.608,,,,,,POLARK5,0.01,IMP; LA-ICPMS; MS; SIMS,,,59.3,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,
ALV0528-003-001,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.16,-18.67,0,0,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,66.5,,,,,,,,,,,,,,,,,,,2.67,1.21,,,,,,,,,,,,,,,,,,,0.113,,0.041,0.015,0.513177,0.702828,18.001,15.448,37.704,,,,,,nr,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHK0419-004,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.31,-18.66,-250,-250,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,70,,,,,,,,,,,,,,,,,,,5.57,2.18,,,,,,,,,,,,,,,,,,,0.264,,0.106,0.033,0.513138,0.702756,18.123,15.439,37.698,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0032-3-012-008,"ELKINS, 2011",SPREADING_CENTER,MORB-Arctic,67.44,-18.5517,-307,-307,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208,0.0735,0.51316,0.702701,17.9394,15.415,37.5584,0.2833,,,,,POS0221,0.0001,ICPMS; MC-ICP-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-1-010-008,"MERTZ, 1991; MICHAEL, 1998",SPREADING_CENTER,MORB-Arctic,67.47,-18.57,-350,-350,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,1.87,74.6,,,,,,,,,,,,,,,,,,,7.38,2.63,,,,,,,,,,,,,,,,,,,0.288,,,,0.513157,0.70292,18.014,15.42,37.657,,,,,,POS0158,0.01,EMP; MS; MS-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,,,,,,,,,,,
AII0073-1-003-001,"BLICHERT-TOFT, 2005; KELLEY, 2013; MELSON, 2003; SIGURDSSON, 1981; WAGGONER, 1989",SPREADING_CENTER,MORB-Arctic,67.48,-18.63,-390,-390,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,50.84,1.54,12.68,,1.82,,13.25,15.47,,0.29,5.58,10.44,2.3,0.1,0.12,,,,,,,,,,,47.5,7888,410,39,,50.4,39.2,102.1,121.5,19.19,,,,,1.62,74,35.9,72.7,2.37,0.28,,,,0.0874,,0.505,0.0455,,,0.026,19.2,2.66,8.08,1.4,7.64,2.94,1.1,4.33,0.842,5.71,1.315,3.91,,3.86,0.587,2.3,0.1607,0.1242,,,,,,0.0205,0.461,,0.186,0.068,0.51318,0.702823,18.008,15.4357,37.6729,0.283319,,,,URI900439,TRI0139,0.01,CALC; EMP; HR-ICP-MS; MC-ICP-MS; MS; MS-ID,,,39.2,50.4,102.1,0.0874,121.5,,,,,,,,,,,,,,,,,,,,,,,,,,865,,,,,,,7888,,,,
AII0127-2-042,"ELKINS, 2011; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.48,-18.63,-390,-390,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,74.8,,,,,,,,,,,,,,,,,,,8.17,3.12,,,,,,,,,,,,,,,,,,,0.401,,0.176,0.0679,0.513141,0.702736,18.015,15.447,37.701,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHR0031-011-315,"ELKINS, 2011; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.71,-18.54,-402,-402,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,64.2,,,,,,,,,,,,,,,,,,,5.15,2.08,,,,,,,,,,,,,,,,,,,0.269,,0.0915,0.0311,0.51315,0.702715,17.996,15.428,37.626,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,
AII0127-2-046-010T2,"ELKINS, 2011; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.90,-18.41,-565,-565,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,68.7,,,,,,,,,,,,,,,,,,,6.78,2.65,,,,,,,,,,,,,,,,,,,0.272,,0.118,0.0391,0.51314,0.702711,18.028,15.408,37.588,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-1-R066,"MERTZ, 1991; MICHAEL, 1998",SPREADING_CENTER,MORB-Arctic,67.98,-18.31,-740,-740,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,1.07,68.4,,,,,,,,,,,,,,,,,,,4.24,1.64,,,,,,,,,,,,,,,,,,,0.155,,,,0.51319,0.70294,17.953,15.424,37.608,,,,,,POS0158,0.01,EMP; MS; MS-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,
