Body,Sample,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cr_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Al_pct,Fe_pct,S_ppm,Sb_ppm,Te_ppm,Ti_pct,Co_ppm,Ni_ppm,Ba_ppm,Cd_ppm,Mg_pct,Mn_pct,Sc_ppm,V_ppm,Ca_pct,K_pct,Na_pct,P_pct,La_ppm,Se_ppm,W_ppm,Zr_ppm,Nb_ppm,Th_ppm,U_ppm,Y_ppm,Hf_ppm,Rb_ppm,Sr_ppm,Mo_ppm,Sn_ppm,Tl_ppm,In_ppm,Re_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/117,96,0.052,40.5,0.41,110,33.38,1.75,328.2,2.34,26.47,2100,0.91,0.31,0.105,15,95.4,11,0.3,2.11,0.1927,6.1,42,3.04,0.07,0.012,0.035,9.5,0.15,1.1,32,2.58,2.8,0.6,8.6,0.93,10.4,33,1.64,1.5,0.16,0.28,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/118,153,0.072,1215.7,0.62,100,44.31,2.28,402.6,1.98,26.15,3400,1.26,0.27,0.093,18.5,109.3,7,0.41,1.77,0.339,5.3,37,3.68,0.05,0.013,0.036,8.7,0.6,14.4,27.5,2.2,2.4,0.6,7.6,0.94,7.8,40,1.9,1.7,0.11,0.32,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/119,200,0.082,1066.4,0.85,71,79.19,2.22,495.9,1.78,22.63,4300,0.81,0.37,0.07,12.3,76.5,5,0.79,1.1,0.383,3.6,26,4.91,0.03,0.009,0.034,7.6,0.4,1.3,28.9,2.14,1.9,0.6,8,0.92,4.7,42,1.91,2.1,0.07,0.37,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/121,187,0.114,597.6,1,150,104.59,3.13,331.2,3.02,23.63,6100,1.22,0.72,0.135,32.4,168.8,4,0.46,1.7,0.379,8,55,5.46,0.01,0.014,0.028,12.3,0.8,7.3,42,3.3,3.2,0.8,9.9,1.02,0.5,54,3.13,1.7,0.025,0.51,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/122,58,0.067,32.3,0.34,61,61.43,1.68,275.2,1.21,25.81,3200,0.7,0.15,0.054,10.2,50.7,1,0.23,1.88,0.2146,2.9,23,2.37,0.01,0.011,0.032,6.3,0.15,0.7,16.8,1.28,1.5,0.3,5.5,0.49,1.7,26,1.52,1.7,0.025,0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG105/137,677,0.157,2589.7,2.3,266,164.86,6.05,857,4.96,21.91,7500,0.81,0.29,0.274,38.9,269.1,144,0.31,2.02,0.1575,16.1,97,1.94,2.14,0.011,0.033,19.9,1.1,1.8,73,6.38,6.1,1.4,9.7,2.21,191.9,17,1.86,22.2,3.12,0.93,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG105/139,49,0.084,95,0.35,24,87.91,2.97,197.4,0.72,27.84,3300,0.44,0.36,0.022,6.2,39.7,6,0.25,1,0.2391,1.3,8,5.31,0.04,0.008,0.028,3.6,0.5,0.8,8.4,0.8,0.7,0.2,4.6,0.27,5.3,59,0.77,3.1,0.07,0.46,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG105/141,33,0.08,489.3,0.36,13,219.3,2.05,192.1,0.26,25.56,5200,0.92,0.2,0.011,7.4,44.3,6,0.21,1.04,0.2742,0.9,5,5.41,0.05,0.011,0.025,3.6,0.7,0.6,5,0.49,0.3,0.1,4.5,0.14,5.8,55,0.48,3.4,0.06,0.4,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/131,472,0.194,517.5,1.1,27,19.14,2.95,59.4,0.43,33.89,3600,0.43,0.28,0.035,3.5,17.8,24,0.2,0.94,0.0889,1.9,13,2.26,0.2,0.037,0.039,1.6,0.5,1.7,9.5,0.58,0.6,0.3,4.2,0.22,23.5,18,0.88,1.9,0.25,0.14,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/133,17,0.066,10,0.2,25,31.82,2.74,109.4,0.27,37.62,2000,0.27,0.04,0.013,3.2,16.5,8,0.22,0.83,0.0527,1,6,1.22,0.11,0.017,0.026,1.9,1.2,0.4,4.1,0.45,0.4,0.05,3.2,0.11,15,13,1.52,2.4,0.2,0.13,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/150,355,0.112,551,0.93,31,18.28,3.01,299.3,0.44,38.66,2500,0.28,0.15,0.023,5.1,24.2,23,0.45,0.82,0.1648,1.4,10,2.34,0.17,0.033,0.031,3.3,0.5,0.3,8.2,0.71,0.5,0.1,4,0.16,19.6,36,0.88,2.4,0.24,0.29,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/153,153,0.095,106.4,0.62,245,40.78,2.74,179.3,4.16,25.25,5600,0.17,0.08,0.183,21.6,145.1,83,0.14,1.68,0.0635,9.8,68,1.29,0.68,0.142,0.029,16,0.5,0.8,50.2,3.82,4.5,1,5.9,1.25,42.2,19,1.55,1.4,0.48,0.16,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG115/115,555,0.077,2308.6,2.06,27,9.01,1.81,139,0.71,32.48,3600,0.9,0.22,0.033,7.8,33.5,11,0.27,0.94,0.2567,1.8,13,3.57,0.08,0.009,0.027,2.8,0.15,1.2,9.4,0.63,0.6,0.2,4.1,0.25,8.3,28,0.39,2.6,0.1,0.33,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
