Body,Sample,Co_ppm,Ni_ppm,Al_pct,Ti_pct,S_ppm,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Sn_ppm,Sr_ppm,Th_ppm,Be_ppm,Tl_ppm,U_ppm,W_ppm,Y_ppm,Zr_ppm,Cs_ppm,Ga_ppm,Hf_ppm,In_ppm,Rb_ppm,Re_ppm,Mg_pct,Mn_pct,Mo_ppm,Nb_ppm,Sb_ppm,Sc_ppm,Ta_ppm,Te_ppm,V_ppm,Ca_pct,K_pct,La_ppm,Li_ppm,Na_pct,P_pct,Se_ppm,Ba_ppm,Cd_ppm,Fe_pct,Cr_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/179,16.5,86.3,1.66,0.071,76800,160,2.533,1.6,14.91,1574.22,12.96,62.3,3.5,111,1.3,0.5,0.52,0.2,5.2,2.9,17.1,11.8,5.38,0.46,0.13,56,0.001,1.26,0.1093,1.09,1.38,0.12,4.2,0.1,0.68,37,2.24,0.89,5.6,16.2,0.03,0.022,1,71,0.57,27.9,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/181,16.8,92.5,1.6,0.068,79100,61,1.995,1.3,12.88,1382.36,12.67,50.8,3.4,111,1.4,1,0.42,0.3,6,2.8,18.4,9,5.82,0.46,0.05,47.2,0.001,1.18,0.1252,1.68,1.4,0.15,3.9,0.1,0.8,33,2.52,0.85,5.4,14.2,0.051,0.027,0.7,47,0.39,27.78,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/182,12.5,73.8,1.78,0.054,62700,101,1.617,2.1,10.55,1288.16,13.23,50.9,3.7,111,1.5,1,0.43,0.3,6.5,3.1,17.3,8.3,5.94,0.46,0.12,48.9,0.004,1.29,0.1289,1.3,1.25,0.14,3.3,0.1,0.64,31,2.72,0.88,4.3,13.9,0.069,0.026,1,36,0.43,22.35,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/183,17.5,91.3,1.39,0.068,73900,1001,2.178,1.1,18.62,1743.84,11.88,58.7,2.9,111,1.5,0.5,0.71,0.3,2.7,3.3,17.6,17.3,5.36,0.37,0.13,56.2,0.003,1.39,0.1115,2.26,1.4,0.21,3.9,0.1,0.83,30,2.43,0.84,5.7,15.3,0.067,0.019,1.4,28,0.48,25.36,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/188,2.5,14,0.34,0.012,4800,959,0.481,2.6,2.27,97.23,3.06,89.1,1.6,111,0.3,0.5,0.25,0.05,0.5,3.5,2.8,7.9,5.88,0.11,0.12,18.4,0.001,0.57,0.0537,0.92,0.41,0.25,0.8,0.05,0.08,6,2.28,0.17,1.9,2.3,0.005,0.025,0.15,16,0.34,35.44,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/129,10.1,61.2,2,0.086,54300,3797,1.216,9.8,33.94,774.41,6.89,130.6,3.1,111,1.7,3,1.5,0.4,0.3,4,19,39.2,8.45,0.53,0.14,106.8,0.005,2.22,0.1933,0.78,1.93,0.12,5.5,0.2,0.77,38,3.41,1.3,6,21.3,0.043,0.028,1.7,92,0.89,23.35,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/133,14.6,91.2,0.83,0.031,82400,2245,1.962,39.5,20.38,1101.69,6.98,48.8,1.3,111,0.8,0.5,0.52,0.2,0.5,2.9,7.8,13.5,3.19,0.21,0.21,36.1,0.009,0.93,0.1136,1.59,0.8,0.27,2.1,0.05,0.8,18,2.44,0.46,2.5,5.7,0.023,0.032,1.9,32,0.62,28.51,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/134,11.3,81.2,2.1,0.096,70200,1120,2.286,12,23.35,1024.67,11.6,100.9,2.3,111,2.5,2,1.25,0.8,0.5,5.2,48.6,31.5,7.8,1.07,0.17,92.2,0.005,1.68,0.1331,1.21,1.92,0.13,6,0.2,0.24,42,2.54,1.29,7.5,18.7,0.067,0.022,1.1,36,0.71,26.52,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/135,11.2,70.2,1.97,0.07,72600,195,2.258,2.7,15.96,1020.92,10.94,93.1,2.5,111,1.6,1,1.13,0.4,0.6,6.5,24.7,29.1,7.08,0.63,0.13,83.2,0.001,1.43,0.1036,1.35,1.57,0.15,4.5,0.1,0.88,34,2.83,1.24,11.6,19.5,0.09,0.022,2.1,31,0.45,23.89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG47/136,13,79.1,1.69,0.065,77500,83,2.342,2.8,16.84,1235.96,14.52,81.2,2.5,111,1.3,2,1.02,0.3,0.3,4.9,19.5,25.6,6.71,0.41,0.19,75.5,0.001,1.42,0.0782,1.55,1.76,0.13,4,0.1,0.43,34,2.42,1.06,4.8,16.9,0.012,0.03,0.9,39,0.35,26.1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
