SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0231601,Wadrah Plateau 3,Wadrah Plateau Dimension Stone 3,Mine,Openpit,Operating,J04400,Parry Range–Maroonah Marbles / Huau Stone,115.730829000000000,-22.706002999999999,369646,7488468,50,Marb Dol Dst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2052,BOOLALOO,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Edmund Basin,20250611
S0231605,Wadrah Plateau 8,Wadrah Plateau Dimension Stone 8,Mine,Openpit,Operating,J04400,Parry Range–Maroonah Marbles / Huau Stone,115.729648999999995,-22.699549000000001,369518,7489181,50,Marb Dol Dst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2052,BOOLALOO,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Edmund Basin,20250611
S0231621,Brookton Hwy Lot 20 / Bassett,Brookton Hwy Brookton Lot 20 / Bassett,Mine,Openpit,Operating,J04540,Brookton Sand / Bassett,117.037285999999995,-32.361863000000000,503508,6419453,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2333,BROOKTON,SI50-03,CORRIGIN,"BROOKTON, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20250611
S0231635,B1 Sat,Turner Syncline B1 Satellite,Mine,Openpit,Operating,J00609,Turner Syncline West,117.472463000000005,-22.678760000000000,548533,7491964,50,Fe,Iron,IRON ORE,Turner Syncline B1 Satellite,N,,N,,Operating Mine,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0231670,L'Haridon Bight South 2,L'Haridon Bight South 2,Mine,Openpit,Operating,J01645,L'Haridon Bight,113.819429000000000,-26.168748999999998,781827,7102568,49,Lsd Shell,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1645,PERON,SG49-12,EDEL,"SHARK BAY, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20250611
S0231689,Finn Rd Lot 1504 Pit A/Letto,Finn Rd Myalup Lot 1504 Pit A / Letto,Mine,Openpit,Operating,J04543,Myalup Limestone / Letto,115.698880000000003,-32.992829000000000,378440,6348756,50,Lst Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20250611
S0231743,Green Head/Yarra Sand,Green Head / Yarra Sand,Mine,Openpit,Operating,J02031,Green Head Limesand,115.003692999999998,-30.103815000000001,307642,6668030,50,Lsd Lst-Lsd Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1937,HILL RIVER,SH50-09,HILL RIVER,"COOROW, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Beagle Ridge,20250611
S0231751,North Kweda Rd Lot 19556,North Kweda Rd Brookton Lot 19556 / Wilkinson,Mine,Openpit,Operating,J04558,Brookton Gravel / Wilkinson,117.411524000000000,-32.295817999999997,538745,6426700,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2333,BROOKTON,SI50-03,CORRIGIN,"BROOKTON, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20250611
S0231755,Corberding Rd Lot 442 and 3387,Corberding Rd Lot 442 and 3387 / Woodbine,Mine,Openpit,Operating,J04556,Brookton Gravel / Woodbine,116.950547000000000,-32.347335000000001,495347,6421063,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2233,BEVERLEY,SI50-02,PINJARRA,"BROOKTON, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20250611
S0231758,Jandabup Sand 2 / Urban Resources,Jandabup Sand 2 / Urban Resources,Mine,Openpit,Operating,J04314,Jandabup Sand / Urban Resources,115.864543999999995,-31.721095999999999,392424,6489918,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"WANNEROO, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20250611
