SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0003063,Mt Malcolm,Mt Malcolm - Verde Austral,Mine,Openpit,Operating,J00900,Fraser Range Granite-Dolerite,122.840192000000002,-32.217222000000000,484941,6435475,51,Gran BlackGran Dst,Construction material,DIMENSION STONE,,N,,,,,Public,3433,FRASER RANGE,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Fraser Zone,20250611
S0003098,Dolly Pot,Dolly Pot,Mine,Openpit,Operating,J02854,Marda / Southern Cross,119.258697999999995,-30.197590000000002,717441,6657163,50,Au Ag,Precious metal,GOLD,Dolly Pot,N,,N,,Operating Mine,Public,2737,JACKSON,SH50-12,JACKSON,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0003101,Kanowna Belle,Kanowna Belle,Mine,Decline,Operating,J00181,Kanowna - Golden Valley,121.578006999999999,-30.608995000000000,363690,6612868,51,Au Ag,Precious metal,GOLD,Kanowna Belle,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",27,KANOWNA,Eastern Goldfields Superterrane,20250611
S0003133,Jurien Bay 1/Westdeen,Jurien Bay 1 / Westdeen,Mine,Openpit,Operating,J02411,Jurien Bay / Westdeen,115.048311999999996,-30.246530000000000,312213,6652285,50,Aglime Lsd Lst,Industrial mineral,LIMESTONE - LIMESAND,Jurien Bay,Y,"Aglime, Lsd, Lst",Y,,Operating Mine,Public,1937,HILL RIVER,SH50-09,HILL RIVER,"DANDARAGAN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beagle Ridge,20250611
S0003142,Newminster,Newminster,Mine,Openpit,Operating,J01338,Phillips Find,120.960877999999994,-30.610188999999998,304525,6611825,51,Au Ag,Precious metal,GOLD,Newminster,N,,Y,,Operating Mine,Public,3036,DUNNSVILLE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20250611
S0003143,Sulphur Springs Portal,Sulphur Springs Mine Portal,Mine,Decline,Operating,J03305,Sulphur Springs,119.211954000000006,-21.146508999999998,729703,7660038,50,Zn Cu Pb Ag,Base metal,COPPER - LEAD - ZINC,,N,,,,,Public,2755,NORTH SHAW,SF50-08,MARBLE BAR,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Soanesville Basin,20250611
S0003173,Bullen - Mainfield,Bullen,Mine,Decline,Operating,J00056,Central Norseman,121.798698000000002,-32.197947999999997,386771,6436990,51,Au Ag,Precious metal,GOLD,Bullen,N,,N,,Operating Mine,Public,3233,NORSEMAN,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20250611
S0003211,Kununurra SE/Argyle,Kununurra SE / Argyle,Mine,Openpit,Operating,J01354,Kununurra SE,128.849898999999994,-15.833470000000000,483927,8249479,52,Gvl Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4666,KUNUNURRA,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Burt Range Shelf,20250611
S0003235,5 West,Paraburdoo 5 West,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.576027999999994,-23.218031000000000,558938,7432227,50,Fe,Iron,IRON ORE,Paraburdoo 5 West,N,,N,,Operating Mine,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003240,K2 Underground,K2 Underground,Mine,Decline,Operating,J04062,Plutonic Dome,119.731983000000000,-25.109078000000000,775507,7220185,50,Au Ag,Precious metal,GOLD,K2,N,,N,,Operating Mine,Public,2847,MARYMIA,SG50-08,PEAK HILL,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Yilgarn Craton granites,20250611
S0003246,Genesis UG,Genesis Underground,Mine,Decline,Operating,J00098,Agnew - Emu,120.497001999999995,-27.978439000000002,253806,6902662,51,Au Ag,Precious metal,GOLD,Genesis Underground,N,,N,,Operating Mine,Public,2942,DEPOT SPRINGS,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Yilgarn Craton,20250611
S0003253,Triton North UG,Triton North Underground,Mine,Stope,Operating,J00017,Cue Gold - Central Murchison,118.268303000000003,-27.131820999999999,625694,6998330,50,Au Ag,Precious metal,GOLD,Triton North Underground,N,,N,,Operating Mine,Public,2543,REEDY,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20250611
S0003254,South Emu UG,South Emu - Triton Underground,Mine,Adit,Operating,J00017,Cue Gold - Central Murchison,118.266898999999995,-27.137969999999999,625548,6997650,50,Au Ag,Precious metal,GOLD,South Emu,N,,Y,,Operating Mine,Public,2543,REEDY,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20250611
S0003258,Triton UG,Triton Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,118.267700000000005,-27.133360000000000,625632,6998160,50,Au Ag,Precious metal,GOLD,Triton Underground,N,,N,,Operating Mine,Public,2543,REEDY,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20250611
S0003277,Mungada W,Mungada West - Blue Hills,Mine,Openpit,Operating,J02673,Koolanooka & Blue Hills - Mungada / Sinosteel,116.862555999999998,-29.141272000000001,486631,6776355,50,Fe Mag,Iron,IRON ORE,,N,,,,,Public,2239,ROTHSAY,SH50-06,PERENJORI,"PERENJORI, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20250611
S0003278,Mungada E,Mungada East - Blue Hills,Mine,Openpit,Operating,J02673,Koolanooka & Blue Hills - Mungada / Sinosteel,116.883313999999999,-29.142147000000001,488650,6776260,50,Fe,Iron,IRON ORE,Mungada East - Blue Hills,N,,Y,,Operating Mine,Public,2239,ROTHSAY,SH50-06,PERENJORI,"PERENJORI, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20250611
S0003291,Warramboo,Warramboo - Mesa A,Mine,Openpit,Operating,J00484,Robe River - Deepdale,115.830596999999997,-21.663160000000001,379004,7603999,50,Fe,Iron,IRON ORE,Warramboo,N,,Y,,Operating Mine,Public,2054,YARRALOOLA,SF50-06,YARRALOOLA,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Lambert Shelf,20250611
S0003298,Koolyanobbing A,Koolyanobbing A,Mine,Openpit,Operating,J00559,Koolyanobbing Iron,119.534869000000000,-30.833162999999999,742452,6586138,50,Fe,Iron,IRON ORE,Koolyanobbing A,N,,N,,Operating Mine,Public,2836,SEABROOK,SH50-12,JACKSON,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0003324,Marillana Ck Central 5,Marillana Creek Central Mesa 5,Mine,Openpit,Operating,J00571,Marillana Creek - Yandi / BHPB,119.100600999999997,-22.724819000000000,715740,7485413,50,Fe,Iron,IRON ORE,Marillana Creek,N,,Y,,Operating Mine,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003337,Cracker,Cracker,Mine,Openpit,Operating,J00725,Woodie Woodie (Mining Corridor) / ConsMin,121.221107000000003,-21.610240000000001,315862,7609260,51,Mn,Steel alloy metal,MANGANESE ORE,Cracker,Y,Mn,Y,,Operating Mine,Public,3154,PEARANA,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Hamersley Basin,20250611
S0003352,Turner River Quarry / Holcim,Turner River Quarry / Holcim,Mine,Openpit,Operating,J00863,Turner River Aggregate / Holcim,118.521949000000006,-20.642961000000000,658562,7716623,50,Agg Sdc Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2656,WALLARINGA,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Soanesville Basin,20250611
S0003365,Russells Find,Russells Find,Mine,Openpit,Operating,J00009,Duketon / Regis Resources,122.376514000000000,-27.973946999999999,438681,6905527,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3342,DUKETON,SG51-14,DUKETON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Burtville Terrane,20250611
S0003389,Cockleshell Gully Road,Cockleshell Gully Road / Green Head,Mine,Openpit,Operating,J01388,Coorow / Green Head Sands,115.125471000000005,-30.072313999999999,319321,6671720,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1937,HILL RIVER,SH50-09,HILL RIVER,"COOROW, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Cadda Terrace,20250611
S0003390,Port Hedland/Brookdale-Buckski,Port Hedland / Brookdale-Buckski,Mine,Openpit,Operating,J01389,Port Hedland / Brookdale-Buckski,118.719768999999999,-20.411459000000001,679445,7742046,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2657,PORT HEDLAND,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Split Rock Supersuite,20250611
S0003391,Norton,Norton - Nevoria,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.592796000000007,-31.508730000000000,746238,6511102,50,Au Ag,Precious metal,GOLD,Norton,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0003406,Upper Swan/Midland Brick,Great Northern Hwy Upper Swan Lot 63 / Midland Brick,Mine,Openpit,Operating,J01802,Upper Swan - Red Hill / Midland Brick,116.032712000000004,-31.775998000000001,408411,6483985,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20250611
S0003421,Gascoyne River Sand M09/69,Gascoyne River Sand M09/69,Mine,Openpit,Operating,J03793,Gascoyne River Sand / Vandeleur,113.889343999999994,-24.797889000000001,792119,7254340,49,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1648,CARNARVON,SG49-04,QUOBBA,"CARNARVON, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20250611
S0003431,Brockman 4 O,Brockman 4 - Deposit O,Mine,Openpit,Operating,J03931,Brockman 4 Area / Rio Tinto,117.270202999999995,-22.598949000000001,527772,7500850,50,Fe,Iron,IRON ORE,Brockman 4,N,,Y,,Operating Mine,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003471,Learmonth / Heidelberg,Learmonth / Heidelberg,Mine,Openpit,Operating,J01413,Learmonth / Heidelberg Materials,114.052126999999999,-22.253831999999999,196166,7536115,50,Lst Agg Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1753,LEARMONTH,SF50-09,YANREY,"EXMOUTH, SHIRE OF","GASCOYNE, Development Region",8,ASHBURTON M.F.,Exmouth Sub-basin,20250611
S0003472,Gnarlbine Sand 1,Gnarlbine Plaster Sand 1,Mine,Openpit,Operating,J00844,Comet Hill-Gnarlabine / Boral,120.931741000000002,-31.136315000000000,302813,6553450,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3035,WOOLGANGIE,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Yilgarn Craton granites,20250611
S0003488,Rose West,Rose West,Mine,Openpit,Operating,J00292,Paddington - Mt Pleasant,121.260597000000004,-30.536739000000001,333136,6620450,51,Au Ag,Precious metal,GOLD,Rose West,N,,N,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20250611
S0003555,Golden Age - GAC,Golden Age,Mine,Openpit,Operating,J02624,Matilda,120.246696000000000,-26.620331000000000,225855,7052663,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20250611
S0003598,Lake MacLeod,Lake MacLeod Gypsum,Mine,Openpit,Operating,J01474,Lake MacLeod Gypsum,113.562708000000001,-24.234375000000000,760239,7317434,49,Gp,Industrial mineral,GYPSUM,Lake MacLeod,Y,Gp,Y,,Operating Mine,Public,1649,MACLEOD,SG49-04,QUOBBA,"CARNARVON, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20250611
S0003628,Zone 61,Plutonic Zone 61 - Caribbean,Mine,Decline,Operating,J00417,Plutonic Gold,119.440117999999998,-25.307109000000001,745663,7198809,50,Au Ag,Precious metal,GOLD,Plutonic Zone 61 - Caribbean,N,,N,,Operating Mine,Public,2747,THREE RIVERS,SG50-08,PEAK HILL,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Eastern Goldfields Superterrane,20250611
S0003638,Marradong,Marradong,Mine,Openpit,Operating,J00776,Worsley,116.434898000000004,-32.836768999999997,447113,6366667,50,Bx,Alumina,BAUXITE - ALUMINA,Marradong,N,,N,,Operating Mine,Public,2132,DWELLINGUP,SI50-02,PINJARRA,"BODDINGTON, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,South West Terrane,20250611
S0003678,Fitzroy Crossing/Reen,Fitzroy Crossing / Voyd,Mine,Openpit,Operating,J01493,Fitzroy Crossing / Voyd,125.586703999999997,-18.189632000000000,773616,7986905,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4061,FITZROY CROSSING,SE51-12,NOONKANBAH,"DERBY/WEST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Lennard Shelf,20250611
S0003684,Flynn Dr Lot 22 / WA Limestone,Flynn Dr Neerabup Lot 22 / WA Limestone,Mine,Openpit,Operating,J01494,Flynn Dr Neerabup Lot 22 / WA Land Authority,115.778683999999998,-31.674876999999999,384231,6494953,50,Lst Lsd Agg,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"WANNEROO, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20250611
S0003696,Mousehollow,Mousehollow,Mine,Openpit,Operating,J00152,Higginsville,121.819011000000003,-31.784390999999999,388185,6482855,51,Au Ag,Precious metal,GOLD,Mousehollow,N,,Y,,Operating Mine,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0003719,Deposit B,West Angelas Deposit B,Mine,Openpit,Operating,J00706,West Angelas,118.767574999999994,-23.118524000000001,681005,7442263,50,Fe,Iron,IRON ORE,Dep B - West Angelas,N,,Y,,Operating Mine,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003720,Deposit C,West Angelas Deposit C,Mine,Openpit,Operating,J00706,West Angelas,118.636298999999994,-23.146709000000001,667524,7439298,50,Fe,Iron,IRON ORE,Dep C – West Angelas,N,,Y,,Operating Mine,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003722,Deposit E,West Angelas Deposit E,Mine,Openpit,Operating,J00706,West Angelas,118.789979000000002,-23.198053000000002,683192,7433428,50,Fe,Iron,IRON ORE,West Angelas Deposit E,N,,N,,Operating Mine,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003723,F-Central,West Angelas Deposit F - Central Pit,Mine,Openpit,Operating,J00706,West Angelas,118.846588999999994,-23.197883000000001,688987,7433374,50,Fe,Iron,IRON ORE,Dep F - West Angelas,N,,N,,Operating Mine,Public,2651,GOVERNOR,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0003738,Hill 60 UG,Hill 60 Underground,Mine,Decline,Operating,J00156,Mt Magnet,117.833877000000001,-28.073274000000001,581935,6894400,50,Au Ag,Precious metal,GOLD,Hill 60,N,,Y,,Operating Mine,Public,2441,MOUNT MAGNET,SH50-03,KIRKALOCKA,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20250611
S0003745,Paulsens UG Portal,Paulsens Underground,Mine,Decline,Operating,J00242,Paulsens,116.242294000000001,-22.579165000000000,422109,7502868,50,Au Ag,Precious metal,GOLD,Paulsens Underground,N,,Y,,Operating Mine,Public,2152,WYLOO,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,South Pilbara Sub-basin,20250611
S0003746,Wattleup Rd Lots 25-31 / Italia,Wattleup Rd Lots 25-31 Wattleup / Italia,Mine,Openpit,Operating,J02658,Wattleup / Italia,115.809409000000002,-32.179931000000003,387759,6438998,50,Lst Dst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"COCKBURN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20250611
S0003756,Golden Pike,Golden Pike,Mine,Openpit,Operating,J00102,Golden Mile / KCGM,121.502065999999999,-30.776551999999999,356657,6594202,51,Au Ag,Precious metal,GOLD,Golden Pike,N,,N,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0003820,Tank,Tank,Mine,Openpit,Operating,J00184,Aldiss - Karonie,122.559442000000004,-31.071024999999999,457972,6562443,51,Au Ag,Precious metal,GOLD,Tank,N,,N,,Operating Mine,Public,3435,ERAYINIA,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20250611
S0003850,Santa OP,Santa Open Pit,Mine,Openpit,Operating,J00251,Randalls - Mt Monger,122.209981999999997,-31.040939000000002,424611,6565593,51,Au Ag,Precious metal,GOLD,Santa OP,N,,N,,Operating Mine,Public,3335,MOUNT BELCHES,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20250611
S0003866,Pippingarra / Young,Pippingarra Sand / Young,Mine,Openpit,Operating,J01534,Port Hedland Sand and Gravel / Young,118.626480999999998,-20.431259000000001,669688,7739953,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2657,PORT HEDLAND,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Split Rock Supersuite,20250611
S0003882,Nillibubbaca A,Nillibubbaca-Yeeda (Part A - Resources Safety),Mine,Openpit,Operating,J01542,Nillibubbaca - Yeeda / Kimberley Quarry,123.078745999999995,-17.713660000000001,508350,8041492,51,Agg,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3562,CLARKSON,SE51-07,DERBY,"DERBY/WEST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Fitzroy Trough,20250611
S0003892,Nickol Bay/Holcim,Nickol Bay / Holcim,Mine,Openpit,Operating,J00959,Nickol Bay / Holcim,116.739554999999996,-20.672609999999999,472874,7714063,50,Agg Aggc Aggm Gran Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Maitland River Supersuite,20250611
S0003903,Nickol Bay Main East/Karratha Earthmoving,Nickol Bay Main East / Karratha Earthmoving,Mine,Openpit,Operating,J01549,Nickol Bay / Karratha Earthmoving,116.906801999999999,-20.733017000000000,490297,7707397,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Gorge Creek Basin,20250611
S0003923,Rose East,Rose East,Mine,Openpit,Operating,J00292,Paddington - Mt Pleasant,121.267115000000004,-30.533147000000000,333756,6620858,51,Au Ag,Precious metal,GOLD,Rose East,N,,N,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20250611
S0003937,Sunrise,Sunrise,Mine,Openpit,Operating,J01703,Sunrise Dam,122.424475000000001,-29.077425000000002,443985,6783300,51,Au,Precious metal,GOLD,Sunrise,N,,N,,Operating Mine,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20250611
S0003942,Westralia UG,Westralia Deeps - Mt Morgans Underground,Mine,Decline,Operating,J00256,Mt Morgans,122.067899999999995,-28.769621999999998,409011,6817182,51,Au Ag,Precious metal,GOLD,Westralia,N,,Y,,Operating Mine,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20250611
S0003946,Gordon-Sirdar,Gordon-Sirdar Openpit,Mine,Openpit,Operating,J01307,Gordon - Sirdar,121.594498000000002,-30.450350000000000,365052,6630472,51,Au Ag,Precious metal,GOLD,Sirdar,N,,Y,,Operating Mine,Public,3237,GINDALBIE,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",27,KANOWNA,Eastern Goldfields Superterrane,20250611
S0003983,Mt Regal/Boral,Mt Regal / Boral,Mine,Openpit,Operating,J01849,Mt Regal / Boral,116.727320000000006,-20.824594999999999,471628,7697241,50,Agg Aggc Brck Sd Bas,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Regal Terrane,20250611
S0003986,Boodalin - Pertha M,Boodalin - Pertha M,Mine,Openpit,Operating,J01576,Boodalin Soak - Westonia,118.649851999999996,-31.271857000000001,657066,6539095,50,Clay Cydo Dol MgCO3,Construction material,CLAYS,Boodalin Soak,N,,N,,Operating Mine,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,South West Terrane,20250611
S0003994,Fingals,Fingals,Mine,Openpit,Under Development,J02818,North Monger - Kal East Gold Project,121.896951999999999,-30.969463000000001,394659,6573260,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0004026,Kemerton Silica Sand,Kemerton Silica Sand,Mine,Openpit,Operating,J01591,Kemerton Silica Sand,115.788532000000004,-33.131269000000003,386994,6333507,50,Sisd,Industrial mineral,SILICA - SILICA SAND,Kemerton,Y,Sisd,Y,,Operating Mine,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20250611
S0004061,Abercrombie Rd 1/WA Lmst,Postans - Abercrombie Rd 1 / WA Limestone,Mine,Openpit,Operating,J01602,Postans - Abercrombie Rd / WA Limestone,115.803298999999996,-32.215099000000002,387226,6435094,50,Lst Agg Lst-Lsd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"KWINANA, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20250611
S0004135,Watheroo Lake A,Watheroo Clays Lake A,Mine,Openpit,Operating,J00985,Watheroo Clays,115.978673999999998,-30.124493000000001,401616,6666980,50,Spn Bent,Industrial mineral,CLAYS,Watheroo Lake,Y,"Spn, Bent",Y,,Operating Mine,Public,2037,BADGINGARRA,SH50-10,MOORA,"COOROW, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Moora Basin,20250611
S0004193,Koolyanobbing S,Koolyanobbing South,Mine,Openpit,Operating,J01631,Koolyanobbing South,119.522796999999997,-30.885159999999999,741166,6580398,50,Agg Gran,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2836,SEABROOK,SH50-12,JACKSON,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0004213,Windmills,Windmills,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.549796999999998,-31.509540999999999,742151,6511108,50,Au Ag,Precious metal,GOLD,Windmills,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0004221,Paddy's Flat UG,Paddy's Flat Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,118.508598000000006,-26.605350000000001,650205,7056389,50,Au Ag,Precious metal,GOLD,Paddys Flat,N,,Y,,Operating Mine,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20250611
